Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s
AR Border (AUS),1978-1994,429,517,83,17698,205,40.77,36136,48.76,30,102,22,1661,71
TM Dilshan (SL),1999-2016,497,527,64,17671,193,38.16,21879,80.76,39,83,35,2011,112
Mohammad Yousuf (Asia/PAK),1998-2010,381,432,52,17300,223,45.52,27357,63.23,39,97,26,1747,142
MS Dhoni (Asia/IND),2004-2019,538,526,142,17266,224,44.96,21834,79.07,16,108,21,1486,359
V Sehwag (Asia/ICC/IND),1999-2013,374,443,15,17253,319,40.31,18641,92.55,38,72,31,2408,243
GC Smith (Afr/ICC/SA),2002-2014,347,432,25,17236,277,42.34,24943,69.1,37,90,20,2076,94
MJ Clarke (AUS),2003-2015,394,449,71,17112,329,45.26,26033,65.73,36,86,21,1672,102
ME Waugh (AUS),1988-2002,372,445,37,16529,173,40.51,26413,62.57,38,97,35,1495,98
SPD Smith (AUS),2010-2024,341,399,55,16441,239,47.79,25466,64.56,44,80,19,1667,136
Javed Miandad (PAK),1975-1996,357,407,62,16213,280,46.99,26178,54.83,31,93,14,1233,92
DL Haynes (WI),1978-1994,354,439,53,16135,184,41.8,28759,53.31,35,96,23,1586,77
AN Cook (ENG),2006-2018,257,387,20,15737,294,42.88,30770,51.14,38,76,16,1815,21
PA de Silva (SL),1984-2003,401,455,41,15645,267,37.78,22692,66.21,31,86,24,1449,150
M Azharuddin (IND),1984-2000,433,455,63,15593,199,39.77,22561,66.92,29,79,14,1342,96
AC Gilchrist (AUS/ICC),1996-2008,396,429,32,15461,204,38.94,16910,91.43,33,81,33,1866,262
SP Fleming (ICC/NZ),1994-2008,396,463,31,15319,274,35.46,26979,56.78,17,95,33,1760,89
Mushfiqur Rahim (BAN),2005-2024,468,521,73,15300,219,34.15,23470,65.18,20,82,32,1456,173
AD Mathews (SL),2008-2024,430,470,97,15272,200,40.94,24710,61.8,19,90,24,1368,227
IVA Richards (WI),1974-1991,308,349,36,15261,291,48.75,17064,78.69,35,90,17,1552,210
Tamim Iqbal (BAN/ICC/World),2007-2023,391,452,19,15249,206,35.21,20997,72.62,25,94,36,1768,189
ML Hayden (AUS/ICC),1993-2009,273,348,32,15066,380,47.67,22330,67.46,40,69,23,1722,182
Shakib Al Hasan (BAN),2006-2024,447,491,56,14730,217,33.86,18716,78.7,14,100,27,1513,135
BB McCullum (NZ),2002-2016,432,474,47,14676,302,34.37,17872,82.11,19,76,37,1552,398
HH Gibbs (SA),1996-2010,361,417,24,14661,228,37.3,22309,65.71,35,66,37,1862,187
G Kirsten (SA),1993-2004,286,361,34,14087,275,43.07,26219,53.72,34,79,24,1581,32
MS Atapattu (SL),1990-2007,360,416,47,14036,249,38.03,24986,56.17,27,76,35,1419,19
Babar Azam (PAK),2015-2024,298,333,39,13951,196,47.45,17098,81.59,31,94,18,1433,156
KP Pietersen (ENG/ICC),2004-2014,277,342,29,13797,227,44.07,19214,71.8,32,67,18,1531,190
MJ Guptill (NZ),2009-2022,367,402,27,13463,237,35.9,16565,81.27,23,76,29,1385,383
DC Boon (AUS),1984-1996,288,367,36,13386,200,40.44,27273,49.08,26,69,22,1316,18
IR Bell (ENG),2004-2015,287,370,39,13331,235,40.27,22804,58.45,26,82,20,1467,73
SM Gavaskar (IND),1971-1987,233,316,30,13214,236,46.2,19150,48.25,35,72,20,1142,47
GA Gooch (ENG),1975-1995,243,337,12,13190,333,40.58,25007,52.74,28,69,17,1486,40
AJ Stewart (ENG),1989-2003,303,397,35,13140,190,36.29,24230,54.23,19,73,27,1590,36
Saleem Malik (PAK),1982-1999,386,410,60,12938,237,36.96,20289,61.85,20,76,31,1192,41
Saeed Anwar (PAK),1989-2003,302,335,21,12876,194,41,18203,70.73,31,68,23,1473,111
Mohammad Hafeez (PAK),2003-2021,392,429,36,12780,224,32.51,17213,74.24,21,64,34,1370,214
CG Greenidge (WI),1974-1991,236,312,29,12692,226,44.84,19840,55.64,30,65,14,1342,148
Q de Kock (SA),2012-2024,301,337,22,12654,178,40.17,13525,93.56,28,68,18,1446,254
A Ranatunga (SL),1982-2000,362,410,59,12561,135,35.78,18243,64.62,8,87,30,1057,104
MEK Hussey (AUS),2004-2013,302,324,71,12398,195,49,19208,64.54,22,72,16,1126,144
RB Richardson (WI),1983-1996,310,363,42,12197,194,37.99,22199,54.82,21,71,16,1302,77
RR Sarwan (WI),2000-2013,286,339,44,11944,291,40.48,20433,58.45,20,71,21,1246,78
Shoaib Malik (ICC/PAK),1999-2021,446,429,79,11867,245,33.9,15292,77.6,12,61,23,1038,199
NJ Astle (NZ),1995-2007,308,358,25,11866,222,35.63,19306,61.46,27,65,30,1339,127
Yuvraj Singh (Asia/IND),2000-2017,402,391,55,11778,169,35.05,14064,83.74,17,71,26,1245,251
JM Bairstow (ENG),2011-2024,287,348,36,11581,167,37.11,15201,76.18,23,53,32,1304,224
A Flower (ZIM),1992-2003,276,320,35,11580,232,40.63,19733,58.68,16,82,18,1075,46
CL Hooper (WI),1987-2003,329,379,58,11523,233,35.89,18979,60.71,20,56,20,1042,128
DI Gower (ENG),1978-1992,231,315,26,11401,215,39.44,20486,55.65,25,51,13,1269,32
AJ Strauss (ENG),2003-2012,231,308,14,11315,177,38.48,19644,57.6,27,54,25,1330,35
JC Buttler (ENG),2011-2024,364,370,59,11276,162,36.25,11930,94.51,14,69,31,1055,346
F du Plessis (SA/World),2011-2021,262,304,41,11198,199,42.57,16338,68.53,23,66,12,1151,137
Shahid Afridi (Asia/ICC/PAK),1996-2018,524,508,40,11196,156,23.92,9809,114.14,11,51,44,1053,476
MN Samuels (WI),2000-2018,345,388,43,11134,260,32.27,17068,65.23,17,64,25,1207,219
Misbah-ul-Haq (PAK),2001-2017,276,315,64,11132,161,44.35,19386,57.42,10,84,17,898,190
VVS Laxman (IND),1996-2012,220,308,41,11119,281,41.64,21067,52.77,23,66,17,1357,9
MA Taylor (AUS),1989-1999,217,296,14,11039,334,39.14,24048,45.9,20,68,9,1000,16
SR Watson (AUS),2002-2016,307,334,36,10950,185,36.74,14465,75.69,14,67,21,1168,245
S Dhawan (IND),2010-2022,269,288,14,10867,190,39.66,12286,88.45,24,55,11,1349,141
EJG Morgan (ENG/IRE),2006-2022,379,361,56,10859,148,35.6,11530,94.18,16,64,25,917,346
Mahmudullah (BAN),2007-2024,426,429,84,10847,150,31.44,14652,74.03,9,53,26,935,197
LD Chandimal (SL),2010-2024,309,353,43,10779,206,34.77,17880,60.28,20,59,18,965,107
BA Stokes (ENG),2011-2024,264,329,32,10609,258,35.72,15081,70.34,18,59,23,1087,262
MV Boucher (Afr/ICC/SA),1997-2012,467,448,87,10469,147,29,16808,62.28,6,61,33,1034,105
DB Vengsarkar (IND),1976-1992,245,305,41,10376,166,39.3,15989,50.04,18,58,22,737,41
ME Trescothick (ENG),2000-2006,202,268,16,10326,219,40.97,15903,64.93,26,52,25,1382,84
G Gambhir (IND),2003-2016,242,283,18,10324,206,38.95,14994,68.85,20,63,20,1188,37
TWM Latham (NZ),2012-2024,258,309,26,10278,264,36.31,17245,59.59,20,57,25,1031,84
BKG Mendis (SL),2015-2024,278,333,19,10244,245,32.62,13596,75.34,13,65,33,1087,195
MD Crowe (NZ),1982-1995,220,271,29,10148,299,41.93,18666,54.36,21,52,12,1037,56
GW Flower (ZIM),1992-2010,288,337,24,10028,201,32.03,19736,50.81,12,55,34,906,53
